RENTAL_ZONE_HAL_ID;"RENTAL_ZONE_HAL_SRC";"NAME";"TYPE";"CITY";"COUNTRY";"POI_AIRPORT_X";POI_LONG_DISTANCE_TRAINS_X;POI_SUBURBAN_TRAINS_X;POI_UNDERGROUND_X;"CLASSIFICATION";"RENTAL_ZONE_GROUP";"CODE";"COMPANY";"COMPANY_GROUP";"FRANCHISE";ACTIVE_X;"RENTAL_ZONE_GROUP_X";"RENTAL_ZONE_X_COORDINATE";"RENTAL_ZONE_Y_COORDINATE"
47665;"Standort";"Am Friedrichshain";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Volkspark Friedrichshain / Virchowstraße";"1208";"";"Call a Bike";"";1;"J";"13,438434361900000";"52,528904576400000"
48109;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Stiglmaierplatz";"88006784";"";"Call a Bike";"";1;"J";"11,559166670000000";"48,147500000000000"
48166;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Stiglmaierplatz";"88007374";"";"Call a Bike";"";1;"J";"11,558611110000000";"48,147500000000000"
48168;"Standort";"";"normal";"Berlin";"DE";"0";0;0;0;"Call a Bike";"Helsingsforser Platz. / Warschauer Str.";"1392";"";"Call a Bike";"";1;"J";"13,449569000000000";"52,507848000000000"
48246;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Neumarkt";"40027526";"";"Call a Bike";"";1;"J";"6,949098740200000";"50,936182263000000"
48289;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Heumarkt";"40027817";"";"Call a Bike";"";1;"J";"6,960311677000000";"50,937404351700000"
48296;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Bahnhof Haupt- Breslauer Platz";"40027866";"";"Call a Bike";"";1;"J";"6,958322532500000";"50,944693717400000"
48346;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Mediapark";"40028239";"";"Call a Bike";"";1;"J";"6,941715848700000";"50,946346041800000"
48374;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"The Coffee Store";"40028451";"";"Call a Bike";"";1;"J";"6,952250420600000";"50,939732973000000"
48557;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Neumarkt";"40018649";"";"Call a Bike";"";1;"J";"6,945614128900000";"50,936644988500000"
48615;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Rudolfplatz";"40019130";"";"Call a Bike";"";1;"J";"6,940416419300000";"50,936740996000000"
48676;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Zülpicher Platz/Friedrichstr.";"40019581";"";"Call a Bike";"";1;"J";"6,940756614800000";"50,931067207000000"
48703;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Heumarkt";"40019829";"";"Call a Bike";"";1;"J";"6,961071516800000";"50,937238180500000"
48837;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"WDR";"40020941";"";"Call a Bike";"";1;"J";"6,953908735100000";"50,940176089800000"
48971;"Standort";"";"normal";"Köln";"DE";"0";0;0;0;"Call a Bike";"Bahnhof West";"40021892";"";"Call a Bike";"";1;"J";"6,933412778200000";"50,943317541800000"
49054;"Standort";"";"normal";"München";"DE";"0";0;0;0;"Call a Bike";"Hauptbahnhof";"88000596";"";"Call a Bike";"";1;"J";"11,561388890000000";"48,140277780000000"
